2020-06-05 15:33:03,095 - INFO - <module>- Main part starts
2020-06-05 15:33:07,699 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 0.000000e+00
2020-06-05 15:33:11,711 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 6.266484e-15
2020-06-05 15:33:15,754 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 5.233844e-13
2020-06-05 15:33:19,928 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 3.777235e-11
2020-06-05 15:33:22,196 - INFO - plots_comp- 0 model, rms:1.959125e+01
2020-06-05 15:33:22,273 - INFO - plots_comp- 1 model, rms:1.959125e+01
2020-06-05 15:33:22,304 - INFO - plots_comp- 2 model, rms:1.959122e+01
2020-06-05 15:33:22,338 - INFO - plots_comp- 3 model, rms:1.959096e+01
2020-06-05 15:33:22,371 - INFO - plots_comp- 4 model, rms:2.079800e+01
2020-06-05 15:33:22,405 - INFO - plots_comp- 5 model, rms:2.174641e+01
2020-06-05 15:33:22,439 - INFO - plots_comp- 6 model, rms:0.000000e+00
