2020-06-11 14:49:12,757 - INFO - <module>- Main part starts
2020-06-11 14:49:19,087 - ERROR - only_fx_mfista- Too large L!! Change l1 or l2 values!!
2020-06-11 14:49:19,087 - INFO - only_fx_mfista- end fitting: itercount: 15
2020-06-11 14:49:21,287 - DEBUG - only_fx_mfista- iternum:50, L: 5.960041e+04, F_xk: 6.826189e+00, chi:5.849399e+06, reg: 8.505873e+05, rela_err:8.852734e-06
2020-06-11 14:49:22,399 - DEBUG - only_fx_mfista- iternum:100, L: 6.556045e+04, F_xk: 6.822626e+00, chi:5.847494e+06, reg: 7.988403e+05, rela_err:3.404496e-06
2020-06-11 14:49:23,534 - DEBUG - only_fx_mfista- iternum:150, L: 6.556045e+04, F_xk: 6.820958e+00, chi:5.846707e+06, reg: 7.744363e+05, rela_err:1.968587e-06
2020-06-11 14:49:24,742 - DEBUG - only_fx_mfista- iternum:200, L: 6.556045e+04, F_xk: 6.819936e+00, chi:5.846250e+06, reg: 7.594556e+05, rela_err:1.275763e-06
2020-06-11 14:49:25,898 - DEBUG - only_fx_mfista- iternum:250, L: 5.960041e+04, F_xk: 6.819222e+00, chi:5.845970e+06, reg: 7.489589e+05, rela_err:9.324024e-07
2020-06-11 14:49:27,075 - DEBUG - only_fx_mfista- iternum:300, L: 6.556045e+04, F_xk: 6.818685e+00, chi:5.845736e+06, reg: 7.410741e+05, rela_err:7.218055e-07
2020-06-11 14:49:28,230 - DEBUG - only_fx_mfista- iternum:350, L: 6.556045e+04, F_xk: 6.818261e+00, chi:5.845571e+06, reg: 7.348432e+05, rela_err:5.794345e-07
2020-06-11 14:49:29,420 - DEBUG - only_fx_mfista- iternum:400, L: 6.556045e+04, F_xk: 6.817916e+00, chi:5.845441e+06, reg: 7.297737e+05, rela_err:4.780304e-07
2020-06-11 14:49:30,582 - DEBUG - only_fx_mfista- iternum:450, L: 5.960041e+04, F_xk: 6.817629e+00, chi:5.845341e+06, reg: 7.255394e+05, rela_err:4.029326e-07
2020-06-11 14:49:31,762 - DEBUG - only_fx_mfista- iternum:500, L: 6.556045e+04, F_xk: 6.817385e+00, chi:5.845246e+06, reg: 7.219513e+05, rela_err:3.451963e-07
2020-06-11 14:49:32,926 - DEBUG - only_fx_mfista- iternum:550, L: 5.960041e+04, F_xk: 6.817174e+00, chi:5.845174e+06, reg: 7.188460e+05, rela_err:2.995762e-07
2020-06-11 14:49:34,046 - DEBUG - only_fx_mfista- iternum:600, L: 6.556045e+04, F_xk: 6.816990e+00, chi:5.845105e+06, reg: 7.161505e+05, rela_err:2.627347e-07
2020-06-11 14:49:35,235 - DEBUG - only_fx_mfista- iternum:650, L: 6.556045e+04, F_xk: 6.816829e+00, chi:5.845048e+06, reg: 7.137749e+05, rela_err:2.324999e-07
2020-06-11 14:49:36,352 - DEBUG - only_fx_mfista- iternum:700, L: 6.556045e+04, F_xk: 6.816685e+00, chi:5.844998e+06, reg: 7.116633e+05, rela_err:2.074178e-07
2020-06-11 14:49:37,460 - DEBUG - only_fx_mfista- iternum:750, L: 6.556045e+04, F_xk: 6.816557e+00, chi:5.844953e+06, reg: 7.097711e+05, rela_err:1.910116e-07
2020-06-11 14:49:38,650 - DEBUG - only_fx_mfista- iternum:800, L: 6.556045e+04, F_xk: 6.816441e+00, chi:5.844913e+06, reg: 7.080646e+05, rela_err:1.724367e-07
2020-06-11 14:49:39,762 - DEBUG - only_fx_mfista- iternum:850, L: 6.556045e+04, F_xk: 6.816336e+00, chi:5.844877e+06, reg: 7.065192e+05, rela_err:1.513469e-07
2020-06-11 14:49:40,905 - DEBUG - only_fx_mfista- iternum:900, L: 6.556045e+04, F_xk: 6.816240e+00, chi:5.844845e+06, reg: 7.051098e+05, rela_err:1.380292e-07
2020-06-11 14:49:42,039 - DEBUG - only_fx_mfista- iternum:950, L: 5.960041e+04, F_xk: 6.816153e+00, chi:5.844818e+06, reg: 7.038197e+05, rela_err:1.275247e-07
2020-06-11 14:49:43,214 - DEBUG - only_fx_mfista- iternum:1000, L: 6.556045e+04, F_xk: 6.816072e+00, chi:5.844790e+06, reg: 7.026395e+05, rela_err:1.165276e-07
2020-06-11 14:49:43,361 - INFO - only_fx_mfista- end; fitting. iternum:1001, relative dif of F: 1.169468e-07
2020-06-11 14:49:43,396 - DEBUG - fx_L1_mfista- itercount: 0, L: 9.523810e-05, eta:1.050000e+00
2020-06-11 14:49:43,405 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.000000e-04, eta:1.050000e+00
2020-06-11 14:49:43,414 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.050000e-04, eta:1.050000e+00
2020-06-11 14:49:43,422 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.102500e-04, eta:1.050000e+00
2020-06-11 14:49:43,431 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.157625e-04, eta:1.050000e+00
2020-06-11 14:49:43,438 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.215506e-04, eta:1.050000e+00
2020-06-11 14:49:43,445 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.276282e-04, eta:1.050000e+00
2020-06-11 14:49:43,451 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.340096e-04, eta:1.050000e+00
2020-06-11 14:49:43,457 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.407100e-04, eta:1.050000e+00
2020-06-11 14:49:43,464 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.477455e-04, eta:1.050000e+00
2020-06-11 14:49:43,469 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.551328e-04, eta:1.050000e+00
2020-06-11 14:49:43,476 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.628895e-04, eta:1.050000e+00
2020-06-11 14:49:43,483 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.710339e-04, eta:1.050000e+00
2020-06-11 14:49:43,489 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.795856e-04, eta:1.050000e+00
2020-06-11 14:49:43,495 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.885649e-04, eta:1.050000e+00
2020-06-11 14:49:43,501 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.979932e-04, eta:1.050000e+00
2020-06-11 14:49:43,508 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.078928e-04, eta:1.050000e+00
2020-06-11 14:49:43,514 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.182875e-04, eta:1.050000e+00
2020-06-11 14:49:43,521 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.292018e-04, eta:1.050000e+00
2020-06-11 14:49:43,527 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.406619e-04, eta:1.050000e+00
2020-06-11 14:49:43,533 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.526950e-04, eta:1.050000e+00
2020-06-11 14:49:43,540 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.653298e-04, eta:1.050000e+00
2020-06-11 14:49:43,545 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.785963e-04, eta:1.050000e+00
2020-06-11 14:49:43,552 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.925261e-04, eta:1.050000e+00
2020-06-11 14:49:43,558 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.071524e-04, eta:1.050000e+00
2020-06-11 14:49:43,565 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.225100e-04, eta:1.050000e+00
2020-06-11 14:49:43,570 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.386355e-04, eta:1.050000e+00
2020-06-11 14:49:43,576 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.555673e-04, eta:1.050000e+00
2020-06-11 14:49:43,582 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.733456e-04, eta:1.050000e+00
2020-06-11 14:49:43,588 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.920129e-04, eta:1.050000e+00
2020-06-11 14:49:43,593 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.116136e-04, eta:1.050000e+00
2020-06-11 14:49:43,601 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.321942e-04, eta:1.050000e+00
2020-06-11 14:49:43,607 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.538039e-04, eta:1.050000e+00
2020-06-11 14:49:43,614 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.764941e-04, eta:1.050000e+00
2020-06-11 14:49:43,620 - DEBUG - fx_L1_mfista- itercount: 0, L: 5.003189e-04, eta:1.050000e+00
2020-06-11 14:49:43,626 - DEBUG - fx_L1_mfista- itercount: 0, L: 5.253348e-04, eta:1.050000e+00
2020-06-11 14:49:43,632 - DEBUG - fx_L1_mfista- itercount: 0, L: 5.516015e-04, eta:1.050000e+00
2020-06-11 14:49:43,639 - DEBUG - fx_L1_mfista- itercount: 0, L: 5.791816e-04, eta:1.050000e+00
2020-06-11 14:49:43,646 - DEBUG - fx_L1_mfista- itercount: 0, L: 6.081407e-04, eta:1.050000e+00
2020-06-11 14:49:43,652 - DEBUG - fx_L1_mfista- itercount: 0, L: 6.385477e-04, eta:1.050000e+00
2020-06-11 14:49:43,659 - DEBUG - fx_L1_mfista- itercount: 0, L: 6.704751e-04, eta:1.050000e+00
2020-06-11 14:49:43,665 - DEBUG - fx_L1_mfista- itercount: 0, L: 7.039989e-04, eta:1.050000e+00
2020-06-11 14:49:43,671 - DEBUG - fx_L1_mfista- itercount: 0, L: 7.391988e-04, eta:1.050000e+00
2020-06-11 14:49:43,677 - DEBUG - fx_L1_mfista- itercount: 0, L: 7.761588e-04, eta:1.050000e+00
2020-06-11 14:49:43,684 - DEBUG - fx_L1_mfista- itercount: 0, L: 8.149667e-04, eta:1.050000e+00
2020-06-11 14:49:43,690 - DEBUG - fx_L1_mfista- itercount: 0, L: 8.557150e-04, eta:1.050000e+00
2020-06-11 14:49:43,697 - DEBUG - fx_L1_mfista- itercount: 0, L: 8.985008e-04, eta:1.050000e+00
2020-06-11 14:49:43,703 - DEBUG - fx_L1_mfista- itercount: 0, L: 9.434258e-04, eta:1.050000e+00
2020-06-11 14:49:43,709 - DEBUG - fx_L1_mfista- itercount: 0, L: 9.905971e-04, eta:1.050000e+00
2020-06-11 14:49:43,715 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.040127e-03, eta:1.050000e+00
2020-06-11 14:49:43,722 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.092133e-03, eta:1.050000e+00
