2020-08-19 15:00:09,858|INFO    |numexpr.utils|_init_num_threads|NumExpr defaulting to 8 threads.
2020-08-19 15:00:36,628|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.586805e+03, l1:1.597329e+03, TSV:3.500457e+01, beta:8.790166e+02, sum:1.062771e+04
2020-08-19 15:00:36,702|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.455126e+03, l1:1.630111e+03, TSV:3.500796e+01, beta:8.733171e+02, sum:1.059401e+04
2020-08-19 15:00:36,774|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.428684e+03, l1:1.637111e+03, TSV:3.493834e+01, beta:8.704997e+02, sum:1.058667e+04
2020-08-19 15:00:36,847|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.408604e+03, l1:1.641046e+03, TSV:3.447699e+01, beta:8.629395e+02, sum:1.057001e+04
2020-08-19 15:00:36,919|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.433038e+03, l1:1.631004e+03, TSV:3.406447e+01, beta:8.518393e+02, sum:1.055029e+04
2020-08-19 15:00:36,991|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.503673e+03, l1:1.606661e+03, TSV:3.408106e+01, beta:8.308569e+02, sum:1.052301e+04
2020-08-19 15:00:37,061|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.575575e+03, l1:1.583421e+03, TSV:3.440237e+01, beta:8.123205e+02, sum:1.050390e+04
2020-08-19 15:00:37,132|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.640955e+03, l1:1.563304e+03, TSV:3.477602e+01, beta:7.896123e+02, sum:1.048414e+04
2020-08-19 15:00:37,202|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.686096e+03, l1:1.550677e+03, TSV:3.528153e+01, beta:7.647314e+02, sum:1.046607e+04
2020-08-19 15:00:37,275|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.711555e+03, l1:1.544482e+03, TSV:3.590372e+01, beta:7.339221e+02, sum:1.044310e+04
2020-08-19 15:00:37,348|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.727911e+03, l1:1.542662e+03, TSV:3.682768e+01, beta:6.671002e+02, sum:1.038980e+04
2020-08-19 15:00:37,419|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.720753e+03, l1:1.550867e+03, TSV:3.965597e+01, beta:5.632322e+02, sum:1.031366e+04
2020-08-19 15:00:37,492|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.663339e+03, l1:1.572211e+03, TSV:4.251940e+01, beta:4.704381e+02, sum:1.024000e+04
2020-08-19 15:00:37,567|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.567209e+03, l1:1.601567e+03, TSV:4.644273e+01, beta:3.700480e+02, sum:1.014872e+04
2020-08-19 15:00:37,641|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.457544e+03, l1:1.628832e+03, TSV:4.898519e+01, beta:2.979679e+02, sum:1.006123e+04
2020-08-19 15:00:37,717|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.364197e+03, l1:1.646917e+03, TSV:4.901571e+01, beta:2.372460e+02, sum:9.964454e+03
