2020-06-11 14:22:58,115 - INFO - <module>- Main part starts
2020-06-11 14:23:04,763 - ERROR - only_fx_mfista- Too large L!! Change l1 or l2 values!!
2020-06-11 14:23:04,763 - INFO - only_fx_mfista- end fitting: itercount: 14
2020-06-11 14:23:06,953 - DEBUG - only_fx_mfista- iternum:50, L: 5.960041e+04, F_xk: 6.826319e+00, chi:5.783729e+06, reg: 9.181477e+05, rela_err:9.243969e-06
2020-06-11 14:23:08,074 - DEBUG - only_fx_mfista- iternum:100, L: 5.960041e+04, F_xk: 6.822521e+00, chi:5.781966e+06, reg: 8.627068e+05, rela_err:3.654938e-06
2020-06-11 14:23:09,257 - DEBUG - only_fx_mfista- iternum:150, L: 6.556045e+04, F_xk: 6.820718e+00, chi:5.781093e+06, reg: 8.363515e+05, rela_err:2.101316e-06
2020-06-11 14:23:10,349 - DEBUG - only_fx_mfista- iternum:200, L: 6.556045e+04, F_xk: 6.819591e+00, chi:5.780618e+06, reg: 8.198200e+05, rela_err:1.452280e-06
2020-06-11 14:23:11,440 - DEBUG - only_fx_mfista- iternum:250, L: 6.556045e+04, F_xk: 6.818797e+00, chi:5.780299e+06, reg: 8.081486e+05, rela_err:1.043871e-06
2020-06-11 14:23:12,639 - DEBUG - only_fx_mfista- iternum:300, L: 7.211650e+04, F_xk: 6.818195e+00, chi:5.780057e+06, reg: 7.993122e+05, rela_err:8.212317e-07
2020-06-11 14:23:13,762 - DEBUG - only_fx_mfista- iternum:350, L: 6.556045e+04, F_xk: 6.817720e+00, chi:5.779883e+06, reg: 7.923285e+05, rela_err:6.509425e-07
2020-06-11 14:23:14,911 - DEBUG - only_fx_mfista- iternum:400, L: 6.556045e+04, F_xk: 6.817333e+00, chi:5.779739e+06, reg: 7.866453e+05, rela_err:5.372765e-07
2020-06-11 14:23:16,119 - DEBUG - only_fx_mfista- iternum:450, L: 6.556045e+04, F_xk: 6.817011e+00, chi:5.779622e+06, reg: 7.819114e+05, rela_err:4.528364e-07
2020-06-11 14:23:17,307 - DEBUG - only_fx_mfista- iternum:500, L: 6.556045e+04, F_xk: 6.816738e+00, chi:5.779525e+06, reg: 7.778879e+05, rela_err:3.873521e-07
2020-06-11 14:23:18,412 - DEBUG - only_fx_mfista- iternum:550, L: 6.556045e+04, F_xk: 6.816502e+00, chi:5.779434e+06, reg: 7.744262e+05, rela_err:3.328459e-07
2020-06-11 14:23:19,593 - DEBUG - only_fx_mfista- iternum:600, L: 5.960041e+04, F_xk: 6.816296e+00, chi:5.779367e+06, reg: 7.713947e+05, rela_err:2.938226e-07
2020-06-11 14:23:20,719 - DEBUG - only_fx_mfista- iternum:650, L: 6.556045e+04, F_xk: 6.816114e+00, chi:5.779305e+06, reg: 7.687308e+05, rela_err:2.662212e-07
2020-06-11 14:23:21,868 - DEBUG - only_fx_mfista- iternum:700, L: 7.211650e+04, F_xk: 6.815953e+00, chi:5.779245e+06, reg: 7.663675e+05, rela_err:2.373343e-07
2020-06-11 14:23:23,009 - DEBUG - only_fx_mfista- iternum:750, L: 5.960041e+04, F_xk: 6.815809e+00, chi:5.779202e+06, reg: 7.642397e+05, rela_err:2.083313e-07
2020-06-11 14:23:24,143 - DEBUG - only_fx_mfista- iternum:800, L: 6.556045e+04, F_xk: 6.815679e+00, chi:5.779155e+06, reg: 7.623319e+05, rela_err:1.888693e-07
2020-06-11 14:23:25,280 - DEBUG - only_fx_mfista- iternum:850, L: 6.556045e+04, F_xk: 6.815561e+00, chi:5.779115e+06, reg: 7.606037e+05, rela_err:1.709031e-07
2020-06-11 14:23:26,455 - DEBUG - only_fx_mfista- iternum:900, L: 5.960041e+04, F_xk: 6.815454e+00, chi:5.779082e+06, reg: 7.590258e+05, rela_err:1.560691e-07
2020-06-11 14:23:27,610 - DEBUG - only_fx_mfista- iternum:950, L: 6.556045e+04, F_xk: 6.815356e+00, chi:5.779046e+06, reg: 7.575901e+05, rela_err:1.436430e-07
2020-06-11 14:23:28,767 - DEBUG - only_fx_mfista- iternum:1000, L: 6.556045e+04, F_xk: 6.815266e+00, chi:5.779016e+06, reg: 7.562680e+05, rela_err:1.315149e-07
2020-06-11 14:23:28,909 - INFO - only_fx_mfista- end; fitting. iternum:1001, relative dif of F: 1.312846e-07
2020-06-11 14:23:28,944 - DEBUG - fx_L1_mfista- itercount: 0, L: 9.523810e-05, eta:1.050000e+00
2020-06-11 14:23:28,951 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.000000e-04, eta:1.050000e+00
2020-06-11 14:23:28,957 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.050000e-04, eta:1.050000e+00
2020-06-11 14:23:28,963 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.102500e-04, eta:1.050000e+00
2020-06-11 14:23:28,969 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.157625e-04, eta:1.050000e+00
2020-06-11 14:23:28,975 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.215506e-04, eta:1.050000e+00
2020-06-11 14:23:28,981 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.276282e-04, eta:1.050000e+00
2020-06-11 14:23:28,988 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.340096e-04, eta:1.050000e+00
2020-06-11 14:23:28,994 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.407100e-04, eta:1.050000e+00
2020-06-11 14:23:29,000 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.477455e-04, eta:1.050000e+00
2020-06-11 14:23:29,006 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.551328e-04, eta:1.050000e+00
2020-06-11 14:23:29,012 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.628895e-04, eta:1.050000e+00
2020-06-11 14:23:29,018 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.710339e-04, eta:1.050000e+00
2020-06-11 14:23:29,024 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.795856e-04, eta:1.050000e+00
2020-06-11 14:23:29,031 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.885649e-04, eta:1.050000e+00
2020-06-11 14:23:29,037 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.979932e-04, eta:1.050000e+00
2020-06-11 14:23:29,043 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.078928e-04, eta:1.050000e+00
2020-06-11 14:23:29,049 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.182875e-04, eta:1.050000e+00
2020-06-11 14:23:29,056 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.292018e-04, eta:1.050000e+00
2020-06-11 14:23:29,063 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.406619e-04, eta:1.050000e+00
2020-06-11 14:23:29,071 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.526950e-04, eta:1.050000e+00
2020-06-11 14:23:29,078 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.653298e-04, eta:1.050000e+00
2020-06-11 14:23:29,084 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.785963e-04, eta:1.050000e+00
2020-06-11 14:23:29,091 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.925261e-04, eta:1.050000e+00
2020-06-11 14:23:29,098 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.071524e-04, eta:1.050000e+00
2020-06-11 14:23:29,104 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.225100e-04, eta:1.050000e+00
2020-06-11 14:23:29,112 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.386355e-04, eta:1.050000e+00
2020-06-11 14:23:29,119 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.555673e-04, eta:1.050000e+00
2020-06-11 14:23:29,125 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.733456e-04, eta:1.050000e+00
2020-06-11 14:23:29,132 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.920129e-04, eta:1.050000e+00
2020-06-11 14:23:29,138 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.116136e-04, eta:1.050000e+00
2020-06-11 14:23:29,145 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.321942e-04, eta:1.050000e+00
2020-06-11 14:23:29,153 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.538039e-04, eta:1.050000e+00
2020-06-11 14:23:29,159 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.764941e-04, eta:1.050000e+00
2020-06-11 14:23:29,166 - DEBUG - fx_L1_mfista- itercount: 0, L: 5.003189e-04, eta:1.050000e+00
